context,operation,iteration,time taken in millis
postgres.PostgresReadPerf,read,0,667
postgres.PostgresReadPerf,read,1,725
postgres.PostgresReadPerf,read,2,623
postgres.PostgresReadPerf,read,3,683
postgres.PostgresReadPerf,read,4,686
postgres.PostgresReadPerf,read,5,676
postgres.PostgresReadPerf,read,6,672
postgres.PostgresReadPerf,read,7,680
postgres.PostgresReadPerf,read,8,679
postgres.PostgresReadPerf,read,9,679
postgres.PostgresReadPerf,read,10,676
postgres.PostgresReadPerf,read,11,694
postgres.PostgresReadPerf,read,12,685
postgres.PostgresReadPerf,read,13,612
postgres.PostgresReadPerf,read,14,539
postgres.PostgresReadPerf,read,15,632
postgres.PostgresReadPerf,read,16,638
postgres.PostgresReadPerf,read,17,620
postgres.PostgresReadPerf,read,18,656
postgres.PostgresReadPerf,read,19,641
postgres.PostgresReadPerf,read,20,530
postgres.PostgresReadPerf,read,21,617
postgres.PostgresReadPerf,read,22,623
postgres.PostgresReadPerf,read,23,368
postgres.PostgresReadPerf,read,24,460
postgres.PostgresReadPerf,read,25,550
postgres.PostgresReadPerf,read,26,614
postgres.PostgresReadPerf,read,27,729
postgres.PostgresReadPerf,read,28,624
postgres.PostgresReadPerf,read,29,622
postgres.PostgresReadPerf,read,30,619
postgres.PostgresReadPerf,read,31,555
postgres.PostgresReadPerf,read,32,737
postgres.PostgresReadPerf,read,33,627
postgres.PostgresReadPerf,read,34,617
postgres.PostgresReadPerf,read,35,619
postgres.PostgresReadPerf,read,36,534
postgres.PostgresReadPerf,read,37,618
postgres.PostgresReadPerf,read,38,629
postgres.PostgresReadPerf,read,39,631
postgres.PostgresReadPerf,read,40,625
postgres.PostgresReadPerf,read,41,627
postgres.PostgresReadPerf,read,42,629
postgres.PostgresReadPerf,read,43,622
postgres.PostgresReadPerf,read,44,610
postgres.PostgresReadPerf,read,45,711
postgres.PostgresReadPerf,read,46,454
postgres.PostgresReadPerf,read,47,546
postgres.PostgresReadPerf,read,48,621
postgres.PostgresReadPerf,read,49,630
postgres.PostgresReadPerf,read,50,547
postgres.PostgresReadPerf,read,51,705
postgres.PostgresReadPerf,read,52,588
postgres.PostgresReadPerf,read,53,455
postgres.PostgresReadPerf,read,54,527
postgres.PostgresReadPerf,read,55,613
postgres.PostgresReadPerf,read,56,451
postgres.PostgresReadPerf,read,57,448
postgres.PostgresReadPerf,read,58,619
postgres.PostgresReadPerf,read,59,529
postgres.PostgresReadPerf,read,60,550
postgres.PostgresReadPerf,read,61,534
postgres.PostgresReadPerf,read,62,618
postgres.PostgresReadPerf,read,63,624
postgres.PostgresReadPerf,read,64,546
postgres.PostgresReadPerf,read,65,616
postgres.PostgresReadPerf,read,66,447
postgres.PostgresReadPerf,read,67,621
postgres.PostgresReadPerf,read,68,579
postgres.PostgresReadPerf,read,69,615
postgres.PostgresReadPerf,read,70,546
postgres.PostgresReadPerf,read,71,614
postgres.PostgresReadPerf,read,72,531
postgres.PostgresReadPerf,read,73,619
postgres.PostgresReadPerf,read,74,552
postgres.PostgresReadPerf,read,75,528
postgres.PostgresReadPerf,read,76,631
postgres.PostgresReadPerf,read,77,448
postgres.PostgresReadPerf,read,78,529
postgres.PostgresReadPerf,read,79,703
postgres.PostgresReadPerf,read,80,615
postgres.PostgresReadPerf,read,81,531
postgres.PostgresReadPerf,read,82,531
postgres.PostgresReadPerf,read,83,539
postgres.PostgresReadPerf,read,84,589
postgres.PostgresReadPerf,read,85,530
postgres.PostgresReadPerf,read,86,445
postgres.PostgresReadPerf,read,87,620
postgres.PostgresReadPerf,read,88,543
postgres.PostgresReadPerf,read,89,519
postgres.PostgresReadPerf,read,90,612
postgres.PostgresReadPerf,read,91,615
postgres.PostgresReadPerf,read,92,619
postgres.PostgresReadPerf,read,93,528
postgres.PostgresReadPerf,read,94,527
postgres.PostgresReadPerf,read,95,529
postgres.PostgresReadPerf,read,96,533
postgres.PostgresReadPerf,read,97,548
postgres.PostgresReadPerf,read,98,447
postgres.PostgresReadPerf,read,99,533
